Champion,Role,Pickrate,Winrate,Banrate,Kills,Deaths,Assists,Pentakills
Jhin,AD Carry,20.30%,50.30%,3.20%,7.9,5.5,7.4,0.0028
Kai'Sa,AD Carry,18.30%,49.00%,2.50%,8.2,5.9,6.2,0.0031
Ezreal,AD Carry,17.20%,46.90%,6.90%,6.6,5.5,6.6,0.0011
Caitlyn,AD Carry,14.90%,48.80%,18.30%,7,6.3,5.9,0.0024
Jinx,AD Carry,14.90%,51.80%,5.20%,7.2,6.1,6.9,0.007
Lucian,AD Carry,14.10%,51.30%,11.90%,8,5.8,6,0.0023
Yasuo,"Mid, Top",13.50%,49.40%,21.80%,6,7,5.2,0.0009
Thresh,Support,13.40%,50.60%,6.90%,2.1,6.1,14.5,0
lulu,Support,13.10%,51.40%,26.20%,1.4,4.8,14.2,0
Lee Sin,Jungler,13.00%,47.90%,9.90%,7.2,5.6,8,0.0005
Sylas,Mid,12.50%,49.50%,10.40%,6.5,6.4,6.6,0.0007
Zed,"Mid, Jungler",12.50%,48.70%,24.80%,8.1,5.8,5.8,0.0009
Miss Fortune,AD Carry,12.40%,50.60%,3.70%,7.2,6,7.1,0.0026
Lux,"Support, Mid",12.40%,49.40%,6.30%,4.9,6,10.2,0.0001
Yone,"Mid, Top",12.20%,47.80%,8.80%,5.4,6.6,4.8,0.0007
Varus,AD Carry,11.70%,48.70%,3.70%,7,6,6.4,0.0018
Viego,Jungler,11.60%,49.80%,7.80%,7.9,5.6,6.1,0.0048
ahri,Mid,11.50%,50.40%,7.70%,5.3,4.7,7.4,0.0005
Nami,Support,11.30%,52.20%,1.80%,1.5,5.1,15.3,0
Mel,"Mid, Support",10.90%,48.30%,28.20%,8.1,5.9,6.3,0.0012
Tristana,AD Carry,9.80%,51.10%,7.80%,8.1,5.7,5.3,0.005
Pantheon,"Support, Jungler, Top",9.50%,49.60%,3.50%,7.2,6.7,7.8,0.0006
Kayn,Jungler,9.50%,50.50%,7.50%,7.5,6.3,7.1,0.0013
Aatrox,Top,9.50%,50.00%,11.30%,5.6,5.7,5.2,0.0015
Naafiri,Jungler,9.40%,51.90%,55.50%,7.6,5.1,7.1,0.0009
Darius,Top,9.40%,49.70%,22.60%,7,6.2,4.5,0.0036
viktor,Mid,9.30%,50.20%,6.90%,4.9,5.1,6.7,0.0005
Ashe,AD Carry,9.20%,49.00%,2.90%,5.5,6.4,8.8,0.0009
Nautilus,Support,9.10%,49.00%,13.40%,2.2,6.5,13.4,0
Gwen,"Jungler, Top",8.70%,51.10%,24.70%,6.7,5.8,5.1,0.0018
Karma,Support,8.60%,49.00%,6.70%,2.2,5.6,12.6,0
Volibear,"Jungler, Top",8.40%,50.90%,4.90%,5.9,6,6.5,0.0012
Vi,Jungler,8.20%,49.60%,3.20%,6.2,5.7,7.9,0.0006
Sett,Top,8.20%,52.10%,3.90%,6,6.4,5.1,0.0009
Shaco,"Jungler, Support",8.10%,48.30%,25.20%,7.5,6,8.2,0.0003
xerath,"Mid, Support",7.80%,50.60%,6.30%,5.6,5.4,9.4,0.0003
Diana,"Jungler, Mid",7.80%,50.80%,3.40%,7.3,6.3,6.6,0.0006
Vayne,AD Carry,7.70%,51.30%,4.80%,7.7,6.3,5.2,0.0066
Renekton,Top,7.40%,50.10%,4.20%,5.7,5.8,5.1,0.0007
Mordekaiser,Top,7.40%,50.80%,9.40%,6.2,6,4.7,0.0012
yorick,"Top, Jungler",7.40%,52.20%,24.40%,4.8,5,5.1,0.0008
Yuumi,Support,7.10%,49.70%,12.30%,1.3,3.6,15.3,0
Akali,"Mid, Top",7.10%,48.80%,8.80%,7.8,5.5,4.7,0.0008
Smolder,AD Carry,7.10%,49.30%,1.60%,6.7,6.1,6.9,0.0045
nocturne,Jungler,7.00%,51.80%,10.70%,6.8,5.5,8.4,0.0003
Braum,Support,6.90%,51.80%,6.00%,1.4,5.4,14.8,0
Malphite,Top,6.90%,50.70%,7.80%,4.7,5.1,7.9,0.0001
Xin Zhao,Jungler,6.80%,51.50%,1.80%,6.3,5.8,7.9,0.0004
Jayce,Top,6.80%,48.50%,5.40%,5.6,6.2,5.6,0.0007
Irelia,"Top, Mid",6.70%,50.10%,13.60%,6.6,7,4.2,0.0012
Malzahar,Mid,6.70%,51.60%,8.90%,4.7,5.6,7.3,0.0001
Ekko,"Jungler, Mid",6.70%,50.10%,1.20%,7.7,5.6,6.3,0.0013
Warwick,"Jungler, Top",6.60%,52.30%,5.80%,7.6,6.7,6.9,0.0006
Talon,"Jungler, Mid",6.50%,50.10%,3.60%,8.4,5.9,6.3,0.0007
Sion,Top,6.50%,50.10%,1.20%,4.4,6.3,6.9,0.0001
Graves,Jungler,6.40%,49.30%,3.90%,8,5.9,6.3,0.0026
Vladimir,"Mid, Top",6.30%,50.50%,6.20%,6,5.2,5.2,0.0024
Jarvan IV,Jungler,6.30%,51.10%,1.70%,6,5.6,12.2,0.0004
garen,Top,6.20%,49.90%,5.40%,6.3,5.3,4.1,0.0003
Milio,Support,6.20%,52.00%,3.40%,0.9,4.2,14.5,0
Pyke,Support,6.10%,48.50%,18.90%,6.4,7.3,9.7,0.0005
LeBlanc,Mid,6.10%,48.10%,17.40%,7.2,5.2,6.6,0.0002
Jax,Top,6.00%,48.60%,5.30%,5.4,6,4.5,0.0007
Hwei,Mid,6.00%,50.20%,3.60%,5.2,5.4,7.9,0.0004
Blitzcrank,Support,5.90%,49.10%,17.20%,2.1,6.2,13.4,0
Lillia,Jungler,5.80%,51.10%,4.80%,6.5,5.1,8.4,0.001
Galio,Mid,5.80%,50.40%,2.70%,4,5.3,9.9,0.0002
Shen,Top,5.80%,50.20%,0.80%,4.3,5,9.7,0.0001
Xayah,AD Carry,5.70%,50.30%,0.80%,7,5.7,6.5,0.0023
